Date,IBOV
1/3/05,25722.01
1/4/05,24848.04
1/5/05,24691.8
1/6/05,24366.93
1/7/05,24747.22
1/10/05,24291.89
1/11/05,24369.87
1/12/05,24509.6
1/13/05,24805.74
1/14/05,24924.13
1/17/05,24515.22
1/18/05,24089.19
1/19/05,24271.23
1/20/05,23609.97
1/21/05,23818.37
1/24/05,24197.72
1/26/05,24530.16
1/27/05,24029.7
1/28/05,23968.09
1/31/05,24350.62
2/1/05,24149.46
2/2/05,24605.36
2/3/05,24873.63
2/4/05,25731.94
2/9/05,26313.5
2/10/05,26415.79
2/11/05,26670.52
2/14/05,26531.89
2/15/05,26610.12
2/16/05,26384.08
2/17/05,27090.91
2/18/05,26756.25
2/21/05,26853.05
2/22/05,26740.06
2/23/05,27198.46
2/24/05,28436.17
2/25/05,28425.04
2/28/05,28139.13
3/1/05,27729.98
3/2/05,28199.7
3/3/05,28668.4
3/4/05,29197.19
3/7/05,29455.42
3/8/05,29021.2
3/9/05,28514.46
3/10/05,28567.49
3/11/05,28074.91
3/14/05,28098.89
3/15/05,27587.71
3/16/05,27826.71
3/17/05,28085.83
3/18/05,27593.25
3/21/05,27411.34
3/22/05,26618.06
3/23/05,26248.27
3/24/05,26701.88
3/28/05,26257.32
3/29/05,25842.08
3/30/05,26469.78
3/31/05,26610.65
4/1/05,26773.83
4/4/05,26406.75
4/5/05,26038.44
4/6/05,25695.05
4/7/05,26307.83
4/8/05,25884.63
4/11/05,25899.73
4/12/05,26206.21
4/13/05,26066.11
4/14/05,24984
4/15/05,24655.85
4/18/05,24877.04
4/19/05,25566.17
4/20/05,25062.44
4/22/05,24767.06
4/25/05,25231.5
4/26/05,25304.75
4/27/05,25241.7
4/28/05,24439.71
4/29/05,24843.7
5/2/05,24704.6
5/3/05,24715.63
5/4/05,25474.47
5/5/05,25435.82
5/6/05,25589.2
5/9/05,25464.75
5/10/05,24762.71
5/11/05,24698.66
5/12/05,24117.27
5/13/05,23887.44
5/16/05,24378.5
5/17/05,24412.76
5/18/05,24898.12
5/19/05,24829.01
5/20/05,24522.41
5/23/05,24214.89
5/24/05,24545.24
5/25/05,24478.42
5/27/05,25255.48
5/30/05,25424.22
5/31/05,25207.07
6/1/05,25948.83
6/2/05,26639.83
6/3/05,26365.62
6/6/05,25556.26
6/7/05,25026.1
6/8/05,24701.5
6/9/05,24483.55
6/10/05,24950.95
6/13/05,24901.83
6/14/05,25744.24
6/15/05,25481.38
6/16/05,25750.53
6/17/05,26092.88
6/20/05,26045.5
6/21/05,25721.68
6/22/05,25678.25
6/23/05,24815.58
6/24/05,24916.91
6/27/05,25225.77
6/28/05,25261.04
6/29/05,25126.36
6/30/05,25051.21
7/1/05,25311.44
7/4/05,25044.53
7/5/05,24674.77
7/6/05,24516.86
7/7/05,24449.51
7/8/05,24422.91
7/11/05,25015.58
7/12/05,25536.25
7/13/05,25855.91
7/14/05,25919.95
7/15/05,25221.53
7/18/05,25321.08
7/19/05,25270.6
7/20/05,25704.76
7/21/05,25842.37
7/22/05,25391.23
7/25/05,24530.79
7/26/05,24868.47
7/27/05,25337.82
7/28/05,26068.37
7/29/05,26042.36
8/1/05,26298.07
8/2/05,26788.54
8/3/05,26714.07
8/4/05,26469.9
8/5/05,26517.92
8/8/05,26711.19
8/9/05,27291.44
8/10/05,27116.92
8/11/05,26633.12
8/12/05,26950.74
8/15/05,27375.02
8/16/05,27080.1
8/17/05,27416.12
8/18/05,26899.74
8/19/05,26643.77
8/22/05,27260.68
8/23/05,26769.28
8/24/05,26712.38
8/25/05,27401.63
8/26/05,27094.61
8/29/05,27384.83
8/30/05,27603.74
8/31/05,28044.83
9/1/05,27962.19
9/2/05,28319.11
9/5/05,28522
9/6/05,28854.92
9/8/05,28828.06
9/9/05,29307.91
9/12/05,29086.48
9/13/05,28873.3
9/14/05,29049.99
9/15/05,29366.24
9/16/05,29815.83
9/19/05,30076.02
9/20/05,30058.99
9/21/05,30837.29
9/22/05,30678.43
9/23/05,31294.11
9/26/05,31141.2
9/27/05,30874.94
9/28/05,31317.24
9/29/05,31208.82
9/30/05,31583.79
10/3/05,31856.13
10/4/05,31283.83
10/5/05,30163.52
10/6/05,29227.4
10/7/05,29972.99
10/10/05,30277.22
10/11/05,30614.23
10/13/05,29880.04
10/14/05,29770.22
10/17/05,30241.61
10/18/05,29067.91
10/19/05,29297.11
10/20/05,28344.08
10/21/05,29175.79
10/24/05,29834.99
10/25/05,29498.03
10/26/05,29729.97
10/27/05,29132.52
10/28/05,29318.18
10/31/05,30193.51
11/1/05,30899.71
11/3/05,31099.97
11/4/05,30887.5
11/7/05,30952.24
11/8/05,30970.6
11/9/05,30666.07
11/10/05,30724.6
11/11/05,30510.89
11/14/05,30218.88
11/16/05,30482.12
11/17/05,31087
11/18/05,31102.37
11/21/05,31110.07
11/22/05,31489.01
11/23/05,31942.56
11/24/05,31944.73
11/25/05,31919.66
11/28/05,31357.55
11/29/05,31651.55
11/30/05,31916.76
12/1/05,32617.18
12/2/05,32832.45
12/5/05,32701.17
12/6/05,33223.42
12/7/05,32756.79
12/8/05,32480.04
12/9/05,32921.76
12/12/05,32970.6
12/13/05,33419.65
12/14/05,33629.47
12/15/05,33193.27
12/16/05,33291.82
12/19/05,33005.27
12/20/05,33066.53
12/21/05,33517.05
12/22/05,33512.86
12/23/05,33331.26
12/26/05,33297.52
12/27/05,33370.73
12/28/05,33138.48
12/29/05,33455.94
1/2/06,33507.27
1/3/06,34540.58
1/4/06,35002.37
1/5/06,34936.11
1/6/06,35475.02
1/9/06,35337.33
1/10/06,35049.42
1/11/06,35952.24
1/12/06,35779.3
1/13/06,35897.12
1/16/06,36533.68
1/17/06,36119.37
1/18/06,35805.19
1/19/06,36858.19
1/20/06,36694.65
1/23/06,36631.75
1/24/06,37399.67
1/26/06,38014.36
1/27/06,37822.22
1/30/06,38242.04
1/31/06,38382.8
2/1/06,38484.84
2/2/06,37304.19
2/3/06,37261.73
2/6/06,37321.2
2/7/06,36561.7
2/8/06,36499.41
2/9/06,36882.31
2/10/06,36975.27
2/13/06,36113.95
2/14/06,36626.88
2/15/06,37239.3
2/16/06,38256.39
2/17/06,38421.83
2/20/06,38539.18
2/21/06,38165.97
2/22/06,38246.4
2/23/06,38405.48
2/24/06,38610.39
3/1/06,39177.87
3/2/06,39125.84
3/3/06,39239.75
3/6/06,38353.98
3/7/06,37422.58
3/8/06,37289.08
3/9/06,36312.27
3/10/06,36890.69
3/13/06,36792.98
3/14/06,37541.49
3/15/06,38243.99
3/16/06,38156.64
3/17/06,38049.17
3/20/06,38203.53
3/21/06,37398.01
3/22/06,37850.59
3/23/06,37473.85
3/24/06,37577.05
3/27/06,37641.06
3/28/06,36682.21
3/29/06,37491.57
3/30/06,37776.76
3/31/06,37951.97
4/3/06,38717.07
4/4/06,38802.26
4/5/06,39053.2
4/6/06,39285.04
4/7/06,38926.49
4/10/06,38474.73
4/11/06,37901.19
4/12/06,38427.41
4/13/06,38082.13
4/17/06,38462.48
4/18/06,39572.47
4/19/06,39937.74
4/20/06,39774.59
4/24/06,39751.3
4/25/06,39738.07
4/26/06,40410.06
4/27/06,39751.44
4/28/06,40363.42
5/2/06,41016.58
5/3/06,40919.76
5/4/06,40975.78
5/5/06,41417.27
5/8/06,41515.49
5/9/06,41979.29
5/10/06,41751.5
5/11/06,40847.07
5/12/06,40211.97
5/15/06,39271.45
5/16/06,39416.44
5/17/06,38290.68
5/18/06,37807.15
5/19/06,37732.86
5/22/06,36496.92
5/23/06,36110
5/24/06,35791.96
5/25/06,37568.66
5/26/06,38629.71
5/29/06,38145.15
5/30/06,36412.51
5/31/06,36530.04
6/1/06,37748.3
6/2/06,37942.18
6/5/06,36739.86
6/6/06,36557.8
6/7/06,35264
6/8/06,35437.78
6/9/06,35074.63
6/12/06,33554.52
6/13/06,32847.61
6/14/06,32941.46
6/16/06,34398.92
6/19/06,33897.35
6/20/06,33632.14
6/21/06,34546.64
6/22/06,34316.77
6/23/06,34661.22
6/26/06,34631.24
6/27/06,34375.73
6/28/06,34834.65
6/29/06,36486.67
6/30/06,36630.66
7/3/06,37357.2
7/4/06,37367.34
7/5/06,36378.03
7/6/06,36533.13
7/7/06,36101.98
7/10/06,36140.64
7/11/06,36553.56
7/12/06,36229.71
7/13/06,35354.28
7/14/06,35349.68
7/17/06,34866.31
7/18/06,35130.42
7/19/06,36785.45
7/20/06,35846.84
7/21/06,35510.4
7/24/06,36224.39
7/25/06,36680.83
7/26/06,36594.3
7/27/06,36887.72
7/28/06,37381.06
7/31/06,37077.12
8/1/06,36839.31
8/2/06,37288.4
8/3/06,37451.19
8/4/06,37847.88
8/7/06,37697.55
8/8/06,37600.44
8/9/06,37255.12
8/10/06,37353.76
8/11/06,36944.43
8/14/06,36556.88
8/15/06,37295.93
8/16/06,37677.81
8/17/06,37558.89
8/18/06,37551.71
8/21/06,37160.6
8/22/06,36677.51
8/23/06,35512.1
8/24/06,35797.26
8/25/06,35957.52
8/28/06,36374.51
8/29/06,36303.67
8/30/06,36313.43
8/31/06,36232.22
9/1/06,37329.15
9/4/06,37693.35
9/5/06,37367.96
9/6/06,36709.87
9/8/06,36558.48
9/11/06,35772.49
9/12/06,36146.66
9/13/06,36549.71
9/14/06,36153.6
9/15/06,36169.93
9/18/06,36482.78
9/19/06,35885.68
9/20/06,35196.59
9/21/06,34830.08
9/22/06,34798.8
9/25/06,34972.74
9/26/06,35818.97
9/27/06,36105.64
9/28/06,36486.19
9/29/06,36449.4
10/2/06,37057.75
10/3/06,36437.55
10/4/06,37749.29
10/5/06,37976.86
10/6/06,37940.44
10/9/06,38406.37
10/10/06,38654.69
10/11/06,38322.21
10/13/06,38850.16
10/16/06,39229.06
10/17/06,38897.5
10/18/06,38685.99
10/19/06,38919.75
10/20/06,38642.82
10/23/06,39226.76
10/24/06,39498.98
10/25/06,39562.63
10/26/06,39644.78
10/27/06,39328.47
10/30/06,38900.49
10/31/06,39262.79
11/1/06,39930.05
11/3/06,40435.18
11/6/06,41246.61
11/7/06,41048.31
11/8/06,41334.23
11/9/06,40815.48
11/10/06,40719.92
11/13/06,40605.79
11/14/06,41290.7
11/16/06,41161.87
11/17/06,41029.43
11/21/06,41570.4
11/22/06,41912.92
11/23/06,42069.83
11/24/06,41757.72
11/27/06,40914.63
11/28/06,41043.15
11/29/06,41970.01
11/30/06,41931.84
12/1/06,41327.07
12/4/06,42654.33
12/5/06,43157.28
12/6/06,43096.16
12/7/06,42909.29
12/8/06,42977.58
12/11/06,43297.06
12/12/06,43018.45
12/13/06,43284.52
12/14/06,43754.56
12/15/06,43595.7
12/18/06,43508.73
12/19/06,43589.72
12/20/06,43502.36
12/21/06,43385.02
12/22/06,43355.73
12/26/06,43603.08
12/27/06,44526.36
12/28/06,44473.71
1/2/07,45382.61
1/3/07,44445.29
1/4/07,44019.77
1/5/07,42245.16
1/8/07,42829.93
1/9/07,42006.78
1/10/07,42335.67
1/11/07,42670.32
1/12/07,43094.97
1/15/07,42919.17
1/16/07,42624.22
1/17/07,42735.48
1/18/07,42477.92
1/19/07,43427.64
1/22/07,43553.3
1/23/07,44177.2
1/24/07,44686.73
1/26/07,44412.35
1/29/07,43573.49
1/30/07,44044.23
1/31/07,44641.6
2/1/07,44815.01
2/2/07,44997.83
2/5/07,45286.17
2/6/07,45351.8
2/7/07,44587.96
2/8/07,44891.94
2/9/07,44284.4
2/12/07,43934.75
2/13/07,45197.45
2/14/07,45995.6
2/15/07,45955.07
2/16/07,45849.03
2/21/07,46090.24
2/22/07,46452.26
2/23/07,46015.79
2/26/07,46207.4
2/27/07,43145.33
2/28/07,43892.31
3/1/07,43516.91
3/2/07,42369.84
3/5/07,41179.16
3/6/07,43218.4
3/7/07,42667.18
3/8/07,43465.83
3/9/07,44133.42
3/12/07,44249.23
3/13/07,42749.38
3/14/07,43288.44
3/15/07,43278.19
3/16/07,42730.04
3/19/07,43712.55
3/20/07,44350.87
3/21/07,45630.86
3/22/07,45424.18
3/23/07,45532.53
3/26/07,45644.56
3/27/07,45206.53
3/28/07,44484.1
3/29/07,45355.13
3/30/07,45804.66
4/2/07,45597.48
4/3/07,46288.16
4/4/07,46553.93
4/5/07,46646.57
4/9/07,46854.71
4/10/07,47174.07
4/11/07,46939.19
4/12/07,47346.56
4/13/07,47926.23
4/16/07,48921.21
4/17/07,48755.48
4/18/07,48709.84
4/19/07,48762.13
4/20/07,49408.18
4/23/07,49162.09
4/24/07,49070.86
4/25/07,49675.59
4/26/07,49067.69
4/27/07,49229.6
4/30/07,48956.39
5/2/07,49471.54
5/3/07,50218.22
5/4/07,50597.79
5/7/07,50281.73
5/8/07,50277.69
5/9/07,51300.13
5/10/07,50234.68
5/11/07,50902.38
5/14/07,50510.76
5/15/07,50518.21
5/16/07,51737.56
5/17/07,51631.47
5/18/07,52077.68
5/21/07,52423.45
5/22/07,52208.09
5/23/07,51812.5
5/24/07,50530.65
5/25/07,51617.97
5/28/07,52119.97
5/29/07,51713.18
5/30/07,52527.65
5/31/07,52268.46
6/1/07,53422.67
6/4/07,53242.68
6/5/07,53162.21
6/6/07,52049.31
6/8/07,52329.68
6/11/07,52776.84
6/12/07,51797.14
6/13/07,52993.73
6/14/07,53712.89
6/15/07,54518.63
6/18/07,54730.44
6/19/07,54643.72
6/20/07,54029.24
6/21/07,54656.88
6/22/07,54267.1
6/25/07,54041.57
6/26/07,53851.68
6/27/07,54143.07
6/28/07,54146.59
6/29/07,54392.06
7/2/07,55371.21
7/3/07,55699.69
7/4/07,55696.47
7/5/07,55932.34
7/6/07,56443.73
7/10/07,55882.7
7/11/07,56356.13
7/12/07,57613.05
7/13/07,57644.16
7/16/07,57374.4
7/17/07,57659.65
7/18/07,57555.85
7/19/07,58124.57
7/20/07,57442.74
7/23/07,58036.77
7/24/07,55794.57
7/25/07,56001.3
7/26/07,53893.15
7/27/07,52922.23
7/30/07,54572.61
7/31/07,54182.5
8/1/07,54233.87
8/2/07,54690.92
8/3/07,52846.38
8/6/07,53091.1
8/7/07,53802.48
8/8/07,55241.37
8/9/07,53430.84
8/10/07,52638.13
8/13/07,52434.01
8/14/07,50911.75
8/15/07,49285.3
8/16/07,48015.55
8/17/07,48558.76
8/20/07,49206.36
8/21/07,49815.08
8/22/07,51744.56
8/23/07,51848.23
8/24/07,52997.56
8/27/07,53078.15
8/28/07,51645.33
8/29/07,52734.64
8/30/07,52857.84
8/31/07,54637.24
9/3/07,54832.51
9/4/07,55250.47
9/5/07,54407.83
9/6/07,54569
9/10/07,52652.57
9/11/07,53920.57
9/12/07,53882.71
9/13/07,54908.18
9/14/07,54671
9/17/07,54340.54
9/18/07,56666.3
9/19/07,57264.22
9/20/07,56906.44
9/21/07,57798.79
9/24/07,58719.37
9/25/07,58857.78
9/26/07,59714.83
9/27/07,61052.44
9/28/07,60465.06
10/1/07,62340.34
10/2/07,62017.12
10/3/07,60098.57
10/4/07,60406.72
10/5/07,62318.72
10/8/07,62660.85
10/9/07,63548.69
10/10/07,63197.04
10/11/07,62455.77
10/15/07,62969.44
10/16/07,61717.9
10/17/07,63193.67
10/18/07,63261.33
10/19/07,60894.29
10/22/07,61215.13
10/23/07,62697.14
10/24/07,62624.81
10/25/07,62341.49
10/26/07,64275.58
10/29/07,65044.31
10/30/07,64383.13
10/31/07,65317.7
11/1/07,64050.08
11/5/07,62959.55
11/6/07,64503.43
11/7/07,63500.62
11/8/07,63561.91
11/9/07,64320.56
11/12/07,61526.87
11/13/07,62927.03
11/14/07,64630.87
11/16/07,64609.38
11/19/07,62336.02
11/21/07,60581.54
11/22/07,60653.01
11/23/07,60970.9
11/26/07,59069.17
11/27/07,59431.5
11/28/07,61714.64
11/29/07,62156.34
11/30/07,63006.16
12/3/07,63199.85
12/4/07,63481.53
12/5/07,64927.96
12/6/07,65790.81
12/7/07,65638.54
12/10/07,65445.96
12/11/07,64512.26
12/12/07,64741.69
12/13/07,62860.99
12/14/07,62444.97
12/17/07,59828.21
12/18/07,61096.28
12/19/07,61721.71
12/20/07,61716.2
12/21/07,63097.71
12/26/07,64288.26
12/27/07,63774.38
12/28/07,63886.1
1/2/08,62815.13
1/3/08,62891.97
1/4/08,61036.61
1/7/08,60772.15
1/8/08,62080.73
1/9/08,62673.69
1/10/08,63515.48
1/11/08,61942.36
1/14/08,62187.78
1/15/08,59907.06
1/16/08,58777.45
1/17/08,57036.85
1/18/08,57506.47
1/21/08,53709.11
1/22/08,56097.18
1/23/08,54234.82
1/24/08,57463.31
1/28/08,58593.78
1/29/08,59529.58
1/30/08,60289.41
1/31/08,59490.4
2/1/08,61079.83
2/6/08,58968.53
2/7/08,58965.48
2/8/08,59075.98
2/11/08,60643.22
2/12/08,61805.47
2/13/08,62590.65
2/14/08,61818.99
2/15/08,61271.87
2/18/08,62801.43
2/19/08,62296.54
2/20/08,63747.49
2/21/08,63792.23
2/22/08,64608.78
2/25/08,65000.94
2/26/08,65182.61
2/27/08,65494.85
2/28/08,65555.08
2/29/08,63489.3
3/3/08,64490.46
3/4/08,63655.54
3/5/08,64629.48
3/6/08,62974.65
3/7/08,61867.99
3/10/08,59999.27
3/11/08,62367.72
3/12/08,62176.58
3/13/08,62279.71
3/14/08,61990.99
3/17/08,60011.84
3/18/08,61932.78
3/19/08,58827.36
3/20/08,58987.31
3/24/08,59812.53
3/25/08,61234.06
3/26/08,61415.28
3/27/08,60761.68
3/28/08,60452.12
3/31/08,60968.07
4/1/08,62774.85
4/2/08,63364.36
4/3/08,64175.05
4/4/08,64445.97
4/7/08,64175.58
4/8/08,64539.54
4/9/08,63476.92
4/10/08,63527.11
4/11/08,62585.21
4/14/08,62153.45
4/15/08,62618.39
4/16/08,64151.94
4/17/08,64552.42
4/18/08,64922.67
4/22/08,65412.66
4/23/08,64947.54
4/24/08,64576.26
4/25/08,65187.34
4/28/08,65677.74
4/29/08,63825.74
4/30/08,67868.46
5/2/08,69366.39
5/5/08,70174.88
5/6/08,70195.27
5/7/08,69017.66
5/8/08,69722.25
5/9/08,69645.7
5/12/08,70415.82
5/13/08,70503.25
5/14/08,70026.62
5/15/08,71492.36
5/16/08,72766.93
5/19/08,73438.83
5/20/08,73516.81
5/21/08,72294.8
5/23/08,71451.8
5/26/08,71628.74
5/27/08,70992.06
5/28/08,73153.23
5/29/08,71797.54
5/30/08,72592.5
6/2/08,71897.25
6/3/08,70011.92
6/4/08,68673.14
6/5/08,71209.12
6/6/08,69785.87
6/9/08,69281.2
6/10/08,67774.94
6/11/08,66794.76
6/12/08,67319.63
6/13/08,67203.52
6/16/08,67284.61
6/17/08,68437.5
6/18/08,67090.45
6/19/08,66590.41
6/20/08,64613.79
6/23/08,64640.45
6/24/08,64167.77
6/25/08,65853.34
6/26/08,63946.92
6/27/08,64321.11
6/30/08,65017.58
7/1/08,63396.19
7/2/08,61106.22
7/3/08,59273.38
7/4/08,59365.35
7/7/08,59088.2
7/8/08,59535.95
7/10/08,60252.74
7/11/08,60148.26
7/14/08,60720.9
7/15/08,61015.09
7/16/08,62056.47
7/17/08,60108.72
7/18/08,59988.1
7/21/08,60771.79
7/22/08,59647.32
7/23/08,59420.86
7/24/08,57434.37
7/25/08,57199.14
7/28/08,56869.02
7/29/08,58042.87
7/30/08,59997.64
7/31/08,59505.17
8/1/08,57630.35
8/4/08,55609.07
8/5/08,56470.59
8/6/08,57542.49
8/7/08,57017.55
8/8/08,56584.4
8/11/08,54720.25
8/12/08,54502.97
8/13/08,54573.18
8/14/08,55138.35
8/15/08,54244.03
8/18/08,53326.54
8/19/08,53638.69
8/20/08,55377.15
8/21/08,55934.69
8/22/08,55850.13
8/25/08,54477.25
8/26/08,54358.7
8/27/08,55519.24
8/28/08,56382.22
8/29/08,55680.41
9/1/08,55162.14
9/2/08,54404.41
9/3/08,53527.01
9/4/08,51408.54
9/5/08,51939.6
9/8/08,50717.97
9/9/08,48435.3
9/10/08,49633.16
9/11/08,51270.4
9/12/08,52392.86
9/15/08,48416.33
9/16/08,49228.92
9/17/08,45908.51
9/18/08,48422.75
9/19/08,53055.38
9/22/08,51540.58
9/23/08,49593.17
9/24/08,49842.99
9/25/08,51828.46
9/26/08,50782.99
9/29/08,46028.06
9/30/08,49541.27
10/1/08,49798.65
10/2/08,46145.1
10/3/08,44517.32
10/6/08,42100.79
10/7/08,40139.85
10/8/08,38593.54
10/9/08,37080.3
10/10/08,35609.54
10/13/08,40829.13
10/14/08,41569.03
10/15/08,36833.02
10/16/08,36441.72
10/17/08,36399.09
10/20/08,39441.08
10/21/08,39043.39
10/22/08,35069.73
10/23/08,33818.49
10/24/08,31481.55
10/27/08,29435.11
10/28/08,33386.65
10/29/08,34845.21
10/30/08,37448.77
10/31/08,37256.84
11/3/08,38249.44
11/4/08,40254.8
11/5/08,37785.66
11/6/08,36361.91
11/7/08,36665.11
11/10/08,36776.27
11/11/08,37261.9
11/12/08,34373.99
11/13/08,35993.33
11/14/08,35789.1
11/17/08,35717.21
11/18/08,34094.66
11/19/08,33404.55
11/21/08,31250.6
11/24/08,34188.83
11/25/08,34812.86
